ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
MSFT,2024-06-13,2024-06-18,434.9689,418.3536,-0.038199,0.6819,False
META,2024-06-13,2024-06-18,502.3047,491.7264,-0.021059,0.8976,False
MSFT,2024-06-22,2024-06-27,443.7996,435.6892,-0.018275,0.7445,False
AMZN,2024-06-22,2024-06-27,189.33,183.83,-0.02905,0.8348,False
GOOGL,2024-06-26,2024-07-01,181.3408,175.9889,-0.029513,0.8899,False
TSLA,2024-06-27,2024-07-02,195.17,184.86,-0.05,0.8723,True
META,2024-06-28,2024-07-03,514.1777,498.8165,-0.029875,0.8217,False
AMZN,2024-07-02,2024-07-07,197.28,185.57,-0.05,0.7967,True
JPM,2024-07-02,2024-07-07,196.8093,190.6641,-0.031224,0.734,False
GOOGL,2024-07-03,2024-07-08,183.5451,182.7309,-0.004436,0.7636,False
TSLA,2024-07-04,2024-07-09,249.81,196.37,-0.05,0.8949,True
MSFT,2024-07-06,2024-07-11,460.3261,446.8089,-0.029364,0.8711,False
META,2024-07-06,2024-07-11,539.2329,516.5739,-0.042021,0.7975,False
AAPL,2024-07-09,2024-07-14,226.1807,209.0035,-0.05,0.7175,True
JPM,2024-07-10,2024-07-15,198.7192,196.9626,-0.00884,0.8808,False
GOOGL,2024-07-11,2024-07-16,188.5099,183.9324,-0.024282,0.7915,False
TSLA,2024-07-11,2024-07-16,263.3,231.26,-0.05,0.8868,True
AAPL,2024-07-16,2024-07-21,233.1964,226.0716,-0.030553,0.8215,False
JPM,2024-07-17,2024-07-22,206.1035,200.1556,-0.028859,0.9157,False
META,2024-07-18,2024-07-23,472.2699,531.6169,0.125663,0.8308,False
GOOGL,2024-07-19,2024-07-24,177.6173,184.2601,0.0374,0.8032,False
MSFT,2024-07-19,2024-07-24,427.3224,448.6342,0.049873,0.7478,False
AMZN,2024-07-19,2024-07-24,181.14,195.05,0.076791,0.9273,False
META,2024-07-25,2024-07-30,460.5975,459.3347,-0.002742,0.9271,False
MSFT,2024-07-26,2024-07-31,412.6211,434.4954,0.053013,0.8041,False
AMZN,2024-07-26,2024-07-31,180.39,183.75,0.018626,0.9389,False
GOOGL,2024-07-26,2024-07-31,165.9701,176.4357,0.063057,0.8539,False
JPM,2024-07-31,2024-08-05,207.0482,202.7584,-0.020719,0.737,False
